Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
Hilal Ding Dong Splash Strawberry 24'S,,102,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Chewing Gum,Imtiaz
Mentos Candy Mint 37.5g,37.5 g,126,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Mentos Chewy Dragees Strawberry 37g,37 g,126,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Candyland Yums Sour 18's Box,,145,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Fruit tella Candy Fruit Juice 36g,36 g,151,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Candyland Toffee Eclairs 50's 250g Rs.2/-,250 g,75,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Fruit tella Candy Orange 36g,36 g,151,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Mentos Candy Fruits 37g,37 g,126,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Fox's Candy Fruits Pouch 90g,90 g,295,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Fresh'n Free Candy Root Mint 100g,100 g,345,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Fresh'n Free Candy Peppermint Sugar Free 100g,100 g,345,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Deemah Candy Cute'e Mini 100g,100 g,99,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Hilal Candy Super Sour 25's Rs.2/-,,50,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Kopiko Candy Cappuccino 150g,150 g,369,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Mentos Chewy Dragees Spearmint 37g,37 g,126,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Fruit tella Candy Strawberry+Vit-C 36g,36 g,151,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Milk Chews Rich&Creamy 36g,36 g,151,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Softmints Chews Ice Bag 200G,200 G,180,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Kopiko Candy Coffee Bag 150G,150 G,369,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Candyland Candy Fico Rs.5 25'S Bag,,100,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Candyland Yums Frty Chws Rs.10 Bx,10 Bx,146,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Candies,Imtiaz
Kernel Pop Popcorn Cheese 90g,90 g,165,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Kernel Pop Popcorn Cheese 80g Sachet,80 g,89,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Kernel Pop Popcorn Butter Blas  3x90g,3 x,475,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Kernel Pop Popcorn Butter 90g,90 g,165,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Kernel Pop Popcorn Butter 80g Sachet,80 g,89,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Kernel Pop Popcorn Natural 80g Sachet,80 g,89,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Kernel Pop Popcorn Natural 90g,90 g,165,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Korneez Plain Salted Popcorn 40g,40 g,49,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Korneez Butter Scotch 45g,45 g,69,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Korneez Caramel Peanut Premium 75g,75 g,79,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Korneez Caramel Peanut 40g,40 g,59,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Korneez Champs Mix 85g,85 g,69,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
Korneez Cheese Popcorn 50g,50 g,79,,In stock,Snacks & Confectionary > Chips & Snacks > Popcorn,Imtiaz
